names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
North Forestville Elementary School,2/10,Below average,"2311 Ritchie Road, Forestville, MD", 20747,Public district,PK-6,325,10:1,Prince George's County Public Schools
Overlook Elementary School,2/10,Below average,"3298 Curtis Drive, Temple Hills, MD", 20748,Public district,PK-5,250,17:1,Prince George's County Public Schools
Paint Branch Elementary School,3/10,Below average,"5101 Pierce Avenue, College Park, MD", 20740,Public district,PK-6,380,11:1,Prince George's County Public Schools
Potomac Landing Elementary School,4/10,Below average,"12500 Fort Washington Road, Fort Washington, MD", 20744,Public district,PK-5,428,17:1,Prince George's County Public Schools
Potomac High School,2/10,Below average,"5211 Boydell Avenue, Oxon Hill, MD", 20745,Public district,9-12,1295,14:1,Prince George's County Public Schools
Princeton Elementary School,2/10,Below average,"6101 Baxter Drive, Camp Springs, MD", 20746,Public district,PK-6,357,16:1,Prince George's County Public Schools
Ridgecrest Elementary School,2/10,Below average,"6120 Riggs Road, Hyattsville, MD", 20783,Public district,PK-6,712,16:1,Prince George's County Public Schools
Riverdale Elementary School,2/10,Below average,"5006 Riverdale Road, Riverdale Park, MD", 20737,Public district,PK-5,797,15:1,Prince George's County Public Schools
Seat Pleasant Elementary School,2/10,Below average,"6411 G Street, Capitol Heights, MD", 20743,Public district,PK-6,345,9:1,Prince George's County Public Schools
Springhill Lake Elementary School,2/10,Below average,"6060 Springhill Drive, Greenbelt, MD", 20770,Public district,K-5,853,13:1,Prince George's County Public Schools
Suitland High School,2/10,Below average,"5200 Silver Hill Road, District Heights, MD", 20747,Public district,9-12,1724,13:1,Prince George's County Public Schools
Tayac Elementary School,3/10,Below average,"8600 Allentown Road, Fort Washington, MD", 20744,Public district,PK-5,359,16:1,Prince George's County Public Schools
William Beanes Elementary School,2/10,Below average,"5108 Dianna Drive, Suitland-Silver Hill, MD", 20746,Public district,PK-6,471,19:1,Prince George's County Public Schools
Tall Oaks Vocational High School,2/10,Below average,"2112 Church Road, Bowie, MD", 20721,Public district,11-12,75,7:1,Prince George's County Public Schools
Lexington Park Elementary School,5/10,Average,"46763 South Shangri-La Drive, Lexington Park, MD", 20653,Public district,PK-5,628,14:1,St. Mary's County Public Schools
Mechanicsville Elementary School,5/10,Average,"28585 Three Notch Road, Mechanicsville, MD", 20659,Public district,PK-5,379,19:1,St. Mary's County Public Schools
Park Hall Elementary School,3/10,Below average,"20343 Hermanville Road, Park Hall, MD", 20667,Public district,PK-5,635,15:1,St. Mary's County Public Schools
Ridge Elementary School,5/10,Average,"49430 Airedele Road, Ridge, MD", 20680,Public district,PK-5,298,16:1,St. Mary's County Public Schools
Bester Elementary School,2/10,Below average,"30 East Memorial Boulevard, Hagerstown, MD", 21740,Public district,PK-5,590,12:1,Washington County Public Schools
Hickory Elementary School,3/10,Below average,"11101 Hickory School Road, Williamsport, MD", 21795,Public district,PK-5,264,13:1,Washington County Public Schools
Pangborn Elementary School,3/10,Below average,"195 Pangborn Boulevard, Hagerstown, MD", 21740,Public district,PK-5,745,14:1,Washington County Public Schools
Fruitland Intermediate School,4/10,Below average,"208 West Main Street, Fruitland, MD", 21826,Public district,3-5,436,14:1,Wicomico County Public Schools
Judge Sylvania W. Woods Sr. Elementary School,3/10,Below average,"3000 Church Street, Lanham, MD", 20706,Public district,PK-6,775,15:1,Prince George's County Public Schools
Robert R. Gray Elementary School,2/10,Below average,"4949 Addison Road, Capitol Heights, MD", 20743,Public district,PK-6,446,14:1,Prince George's County Public Schools
Dodge Park Elementary School,2/10,Below average,"3401 Hubbard Road, Hyattsville, MD", 20785,Public district,PK-6,563,15:1,Prince George's County Public Schools
Empowerment Academy,3/10,Below average,"851 Braddish Avenue, Baltimore, MD", 21216,Public charter,PK-8,288,13:1,Baltimore City Public Schools
New Town High School,5/10,Average,"4931 New Town Boulevard, Owings Mills, MD", 21117,Public district,9-12,986,14:1,Baltimore County Public Schools
Samuel P. Massie Academy,2/10,Below average,"3301 Regency Parkway, Forestville, MD", 20747,Public district,PK-8,663,15:1,Prince George's County Public Schools
Panorama Elementary School,3/10,Below average,"2002 Callaway Street, Hillcrest Heights, MD", 20748,Public district,PK-6,556,13:1,Prince George's County Public Schools
Academy For College And Career Exploration,2/10,Below average,"1300 West 36th Street, Baltimore, MD", 21211,Public district,6-12,608,16:1,Baltimore City Public Schools
Port Towns Elementary School,2/10,Below average,"4351 58th Avenue, Bladensburg, MD", 20710,Public district,PK-6,1057,16:1,Prince George's County Public Schools
Northwood Appold Community Academy,3/10,Below average,"4417 Loch Raven Boulevard, Baltimore, MD", 21218,Public charter,K-5,222,17:1,Baltimore City Public Schools
Suitland Elementary School,2/10,Below average,"4650 Homer Avenue, Suitland-Silver Hill, MD", 20746,Public district,PK-6,558,17:1,Prince George's County Public Schools
William W. Hall Academy,2/10,Below average,"5200 Marlboro Pike, Capitol Heights, MD", 20743,Public district,PK-8,546,16:1,Prince George's County Public Schools
Baltimore Montessori Public Charter School,3/10,Below average,"1600 Guilford Avenue, Baltimore, MD", 21202,Public charter,PK-8,284,19:1,Baltimore City Public Schools
New Hope Academy,1/10,Below average,"900 Druid Hill Avenue, Baltimore, MD", 21201,Public district,6-12,117,,Baltimore City Public Schools
K.A.S.A. (Knowledge And Success Academy),1/10,Below average,"2000 Edgewood Street, Baltimore, MD", 21216,Public district,6-12,453,18:1,Baltimore City Public Schools
The Reach! Partnership School,1/10,Below average,"2801 Saint Lo Drive, Baltimore, MD", 21213,Public district,9-12,619,14:1,Baltimore City Public Schools
East Baltimore Community School,2/10,Below average,"2100 Ashland Avenue, Baltimore, MD", 21205,Public district,K-8,567,16:1,Baltimore City Public Schools
Monarch Academy Public Charter School,2/10,Below average,"2525 Kirk Avenue, Baltimore, MD", 21218,Public charter,K-8,959,17:1,Baltimore City Public Schools
Bluford Drew Jemison Stem Academy West,1/10,Below average,"2000 Edgewood Street, Baltimore, MD", 21216,Public district,6-12,397,16:1,Baltimore City Public Schools
Roots and Branches,1/10,Below average,"1807 Harlem Avenue, Baltimore, MD", 21217,Public charter,K-5,228,15:1,Baltimore City Public Schools
Phoenix Academy,1/10,Below average,"1411 Cedar Park Road, Annapolis, MD", 21401,Public district,K-12,331,5:1,Anne Arundel County Public Schools
Creative City Public Charter School,1/10,Below average,"2810 Shirley Avenue, Baltimore, MD", 21215,Public charter,K-5,258,,Baltimore City Public Schools
Edward M. Felegy ES,2/10,Below average,"6110 Editors Park Drive, Hyattsville, MD", 20782,Public district,PK-5,796,14:1,Prince George's County Public Schools
Mary Moss at Adams Academy,1/10,Below average,"245 Clay Street, Annapolis, MD", 21401,Public district,6-9,85,2:1,Anne Arundel County Public Schools
Banneker Blake Academy for Arts and Sciences,1/10,Below average,"1101 Winston Avenue, Baltimore, MD", 21212,Public charter,6-7,78,11:1,Baltimore City Public Schools
Alexander Hamilton Elementary School,1/10,Below average,"800 Poplar Grove Street, Baltimore, MD", 21216,Public district,PK-5,287,22:1,Baltimore City Public Schools
Arundel Elementary/Middle School,1/10,Below average,"2400 Round Road, Baltimore, MD", 21225,Public district,PK-8,394,14:1,Baltimore City Public Schools
Belmont Elementary School,1/10,Below average,"1406 North Ellamont Street, Baltimore, MD", 21216,Public district,PK-5,334,20:1,Baltimore City Public Schools
Booker T. Washington Middle School,1/10,Below average,"1301 McCulloh Street, Baltimore, MD", 21217,Public district,6-8,309,17:1,Baltimore City Public Schools
Brehms Lane Elementary School,2/10,Below average,"3536 Brehms Lane, Baltimore, MD", 21213,Public charter,PK-5,696,17:1,Baltimore City Public Schools
Callaway Elementary School,2/10,Below average,"3701 Fernhill Avenue, Baltimore, MD", 21215,Public district,PK-5,334,16:1,Baltimore City Public Schools
Calverton Elementary/Middle School,1/10,Below average,"1100 Whitmore Avenue, Baltimore, MD", 21216,Public district,PK-8,660,16:1,Baltimore City Public Schools
Dr. Carter Godwin Woodson Elementary/Middle School,1/10,Below average,"2501 Seabury Road, Baltimore, MD", 21225,Public district,PK-8,353,19:1,Baltimore City Public Schools
Cherry Hill Elementary/Middle School,1/10,Below average,"834 Roundview Road, Baltimore, MD", 21225,Public district,PK-8,484,18:1,Baltimore City Public Schools
City Springs Elementary School,1/10,Below average,"100 South Caroline Street, Baltimore, MD", 21231,Public charter,PK-8,796,19:1,Baltimore City Public Schools
Coldstream Park Elementary School,1/10,Below average,"1400 Exeter Hall Avenue, Baltimore, MD", 21218,Public district,PK-8,358,18:1,Baltimore City Public Schools
Collington Square Elementary School,1/10,Below average,"1409 North Collington Avenue, Baltimore, MD", 21213,Public district,PK-8,505,15:1,Baltimore City Public Schools
Dallas F. Nicholas Sr. Elementary School,1/10,Below average,"201 East 21st Street, Baltimore, MD", 21218,Public district,PK-5,295,19:1,Baltimore City Public Schools
Dr. Bernard Harris Sr. Elementary School,1/10,Below average,"1400 North Caroline Street, Baltimore, MD", 21213,Public district,PK-5,498,19:1,Baltimore City Public Schools
Dr. Martin Luther King Jr. Elementary School,1/10,Below average,"3750 Greenspring Avenue, Baltimore, MD", 21211,Public district,PK-8,307,18:1,Baltimore City Public Schools
Edgecombe Circle Elementary School,1/10,Below average,"2835 Virginia Avenue, Baltimore, MD", 21215,Public district,PK-5,366,15:1,Baltimore City Public Schools
Fallstaff Elementary School,1/10,Below average,"3801 Fallstaff Road, Baltimore, MD", 21215,Public district,PK-8,447,16:1,Baltimore City Public Schools
Fort Worthington Elementary School,1/10,Below average,"2050 North Wolfe Street, Baltimore, MD", 21213,Public district,K-8,477,14:1,Baltimore City Public Schools
Furley Elementary School,2/10,Below average,"4633 Furley Avenue, Baltimore, MD", 21206,Public district,PK-5,474,20:1,Baltimore City Public Schools
Furman L. Templeton Elementary School,2/10,Below average,"1200 Pennsylvania Avenue, Baltimore, MD", 21217,Public charter,PK-5,512,17:1,Baltimore City Public Schools
Gardenville Elementary School,1/10,Below average,"5300 Belair Road, Baltimore, MD", 21206,Public district,K-5,400,19:1,Baltimore City Public Schools
George Washington Elementary School,2/10,Below average,"800 Scott Street, Baltimore, MD", 21230,Public district,PK-5,267,17:1,Baltimore City Public Schools
Gilmor Elementary School,1/10,Below average,"1311 North Gilmor Street, Baltimore, MD", 21217,Public district,PK-5,277,19:1,Baltimore City Public Schools
Govans Elementary School,2/10,Below average,"5801 York Road, Baltimore, MD", 21212,Public charter,PK-5,400,16:1,Baltimore City Public Schools
Harlem Park Elementary School,1/10,Below average,"1401 West Lafayette Avenue, Baltimore, MD", 21223,Public district,PK-8,399,18:1,Baltimore City Public Schools
Highlandtown Elementary #237,2/10,Below average,"231 South Eaton Street, Baltimore, MD", 21224,Public district,PK-8,742,18:1,Baltimore City Public Schools
James Mchenry Elementary School,1/10,Below average,"31 South Schroeder Street, Baltimore, MD", 21223,Public district,PK-8,344,18:1,Baltimore City Public Schools
James Mosher Elementary School,1/10,Below average,"2400 Mosher Street, Baltimore, MD", 21216,Public district,PK-5,222,16:1,Baltimore City Public Schools
Johnston Square Elementary School,1/10,Below average,"1101 Valley Street, Baltimore, MD", 21202,Public district,PK-5,400,18:1,Baltimore City Public Schools
Margaret Brent Elementary School,2/10,Below average,"100 East 26th Street, Baltimore, MD", 21218,Public district,PK-8,344,19:1,Baltimore City Public Schools
Mary E. Rodman Elementary School,1/10,Below average,"3510 West Mulberry Street, Baltimore, MD", 21229,Public district,PK-5,254,15:1,Baltimore City Public Schools
Matthew A. Henson Elementary School,1/10,Below average,"1600 North Payson Street, Baltimore, MD", 21217,Public district,PK-5,389,18:1,Baltimore City Public Schools
Northwestern High School,1/10,Below average,"6900 Park Heights Avenue, Baltimore, MD", 21215,Public district,9-12,509,16:1,Baltimore City Public Schools
Patterson High School,1/10,Below average,"100 Kane Street, Baltimore, MD", 21224,Public district,9-12,1098,15:1,Baltimore City Public Schools
Pimlico Elementary School,1/10,Below average,"3910 Barrington Road, Baltimore, MD", 21207,Public district,PK-8,475,19:1,Baltimore City Public Schools
Robert W. Coleman Elementary School,1/10,Below average,"2400 Windsor Avenue, Baltimore, MD", 21216,Public district,PK-5,357,20:1,Baltimore City Public Schools
Rognel Heights Elementary/Middle School,1/10,Below average,"4300 Sidehill Road, Baltimore, MD", 21229,Public district,PK-8,283,19:1,Baltimore City Public Schools
The Historic Samuel Coleridge-Taylor Elementary School,1/10,Below average,"507 West Preston Street, Baltimore, MD", 21201,Public district,PK-5,390,15:1,Baltimore City Public Schools
Samuel F. B. Morse Elementary School,1/10,Below average,"424 South Pulaski Street, Baltimore, MD", 21223,Public district,PK-5,353,19:1,Baltimore City Public Schools
Sarah M. Roach Elementary School,2/10,Below average,"3434 Old Frederick Road, Baltimore, MD", 21229,Public district,PK-5,241,21:1,Baltimore City Public Schools
Tench Tilghman Elementary School,1/10,Below average,"600 North Patterson Park Avenue, Baltimore, MD", 21205,Public district,PK-8,427,16:1,Baltimore City Public Schools
Westport Academy,1/10,Below average,"2401 Nevada Street, Baltimore, MD", 21230,Public district,PK-8,352,18:1,Baltimore City Public Schools
Guilford Elementary/Middle School,1/10,Below average,"4520 York Road, Baltimore, MD", 21212,Public district,PK-8,386,18:1,Baltimore City Public Schools
Deep Creek Elementary School,1/10,Below average,"1101 East Homberg Avenue, Baltimore, MD", 21221,Public district,K-5,413,15:1,Baltimore County Public Schools
Overlea High & Academy Of Finance,2/10,Below average,"5401 Kenwood Avenue, Baltimore, MD", 21206,Public district,9-12,960,13:1,Baltimore County Public Schools
White Oak School,1/10,Below average,"8401 Leefield Road, Parkville, MD", 21234,Public district,PK-5,95,3:1,Baltimore County Public Schools
Gilpin Manor Elementary School,2/10,Below average,"203 Newark Avenue, Elkton, MD", 21921,Public district,PK-5,466,14:1,Cecil County Public Schools
Dufief Elementary School,6/10,Average,"15001 DuFief Drive, Gaithersburg, MD", 20878,Public district,K-5,313,12:1,Montgomery County Public Schools
Kensington Parkwood Elementary School,7/10,Above average,"4710 Saul Road, Kensington, MD", 20895,Public district,PK-5,644,17:1,Montgomery County Public Schools
Annapolis Road Academy Alternative High School,1/10,Below average,"5150 Annapolis Road, Bladensburg, MD", 20710,Public district,9-10,92,8:1,Prince George's County Public Schools
Clinton Grove Elementary School,2/10,Below average,"9420 Temple Hill Road, Clinton, MD", 20735,Public district,K-6,309,11:1,Prince George's County Public Schools
District Heights Elementary School,2/10,Below average,"2200 County Road, District Heights, MD", 20747,Public district,PK-6,497,17:1,Prince George's County Public Schools
Forest Heights Elementary School,2/10,Below average,"200 Talbert Drive, Oxon Hill, MD", 20745,Public district,PK-6,295,15:1,Prince George's County Public Schools
Northwestern Evening/Saturday High,1/10,Below average,"7000 Adelphi Road, Hyattsville, MD", 20782,Public district,9-12,86,33:1,Prince George's County Public Schools
Hillcrest Heights Elementary School,2/10,Below average,"4305 22nd Place, Temple Hills, MD", 20748,Public district,PK-5,514,18:1,Prince George's County Public Schools
Crossland Evening/Saturday High,1/10,Below average,"6901 Temple Hill Road, Temple Hills, MD", 20748,Public district,9-12,95,,Prince George's County Public Schools
John H. Bayne Elementary School,2/10,Below average,"7010 Walker Mill Road, Capitol Heights, MD", 20743,Public district,PK-5,456,17:1,Prince George's County Public Schools
Harford Heights Elementary School,2/10,Below average,"1919 North Broadway, Baltimore, MD", 21213,Public district,PK-5,576,17:1,Baltimore City Public Schools
Rosaryville Elementary School,2/10,Below average,"9925 Rosaryville Rd, Upper Marlboro, MD", 20772,Public district,PK-5,461,15:1,Prince George's County Public Schools
Connexions Community Leadership Academy,1/10,Below average,"2801 Dukeland St, Baltimore, MD", 21216,Public charter,6-12,430,13:1,Baltimore City Public Schools
National Academy Foundation,2/10,Below average,"540 North Caroline Street, Baltimore, MD", 21205,Public district,6-12,835,17:1,Baltimore City Public Schools
Cora L. Rice Elementary School,1/10,Below average,"950 Nalley Road, Hyattsville, MD", 20785,Public district,PK-6,772,16:1,Prince George's County Public Schools
New Era Academy,1/10,Below average,"2700 Seamon Avenue, Baltimore, MD", 21225,Public district,6-12,293,17:1,Baltimore City Public Schools
Vivien T. Thomas Medical Arts Academy,2/10,Below average,"100 North Calhoun Street, Baltimore, MD", 21223,Public district,9-12,397,18:1,Baltimore City Public Schools
Coppin Academy,3/10,Below average,"2500 West North Avenue, Baltimore, MD", 21216,Public charter,9-12,336,16:1,Baltimore City Public Schools
Renaissance Academy,1/10,Below average,"1301 McCulloh Street, Baltimore, MD", 21217,Public district,9-12,319,15:1,Baltimore City Public Schools
Southwest Baltimore Charter School,2/10,Below average,"1300 Herkimer Street, Baltimore, MD", 21223,Public charter,K-8,407,14:1,Baltimore City Public Schools
The Salisbury School,Currently unrated,Currently unrated,"6279 Hobbs Road, Salisbury, MD", 21804,Private,PK-12,334,,
Casa De Montessori School,Currently unrated,Currently unrated,"709 Hobbs Drive, Silver Spring, MD", 20904,Private,PK-1,26,,
Glenwood Academy,Currently unrated,Currently unrated,"16151 Old Frederick Road, Mount Airy, MD", 21771,Private,1-9,40,,
St Philip the Apostle Catholic School,Currently unrated,Currently unrated,"5414 Henderson Way, Camp Springs, MD", 20746,Private,PK-8,227,,
New Chapel Christian Academy,Currently unrated,Currently unrated,"5601 Old Branch Avenue, Camp Springs, MD", 20748,Private,PK-6,299,,
Melwood Child Development Center,Currently unrated,Currently unrated,"6906 Woodyard Road, Upper Marlboro, MD", 20772,Private,PK-6,,,
Waldorf Christian Academy,Currently unrated,Currently unrated,"4200 Old Washington Road, Waldorf, MD", 20602,Private,PK-11,58,,
The Green School,4/10,Below average,"2851 Kentucky Avenue, Baltimore, MD", 21213,Public charter,K-5,150,14:1,Baltimore City Public Schools
Middletown Primary School,Currently unrated,Currently unrated,"403 Franklin Street, Middletown, MD", 21769,Public district,PK-2,430,17:1,Frederick County Public Schools
Roscoe R Nix Elementary School,Currently unrated,Currently unrated,"1100 Corliss Street, Silver Spring, MD", 20903,Public district,PK-2,538,11:1,Montgomery County Public Schools
Dayton Oaks Elementary School,10/10,Above average,"4691 Ten Oaks Road, Dayton, MD", 21036,Public district,PK-5,646,12:1,Howard County Public Schools
Restoration Alternative Academy Charter School,Currently unrated,Currently unrated,"253 Paradise Rd, Aberdeen, MD", 21001,Public charter,6-11,,,Harford County Public Schools
Academy of Achievement,Currently unrated,Currently unrated,"4400 Parkside Dr, Baltimore, MD", 21206,Private,1-4,,,
Calvary Baptist School,Currently unrated,Currently unrated,"7321 Manchester Rd, Baltimore, MD", 21222,Private,PK-12,135,,
Cambridge Christian Academy,Currently unrated,Currently unrated,"205 Maryland Avenue, Cambridge, MD", 21613,Private,K-5,22,,
Christian Bible Academy,Currently unrated,Currently unrated,"5517 Ritchie Hwy B, Brooklyn Park, MD", 21225,Private,K-6,16,,
Excellence Christian School,Currently unrated,Currently unrated,"9010 Frank Tippett Road, Upper Marlboro, MD", 20772,Private,PK-12,136,,
Grace Baptist Academy,Currently unrated,Currently unrated,"131 9th Ave, Brunswick, MD", 21716,Private,K-12,31,,
Greater Mt Nebo Christian Academy,Currently unrated,Currently unrated,"1001 Old Mitchellville Road, Bowie, MD", 20716,Private,K-5,35,,
Greater Youth Christian Academy,Currently unrated,Currently unrated,"200 North Bentalou Street, Baltimore, MD", 21223,Private,PK-8,81,,
Hannah More at Chesapeake High School,Currently unrated,Currently unrated,"4798 Mountain Rd, Pasadena, MD", 21122,Private,9-11,,,
Friends School of Harford,Currently unrated,Currently unrated,"2230 Rock Spring Road Forest Hill, Forest Hill, MD", 21050,Private,K-8,50,,
High Road School Of Cecil County - Elkton,Currently unrated,Currently unrated,"3035 Singerly Road, Elkton, MD", 21921,Private,6-12,27,,
High Road Upper School of Prince George's County,Currently unrated,Currently unrated,"6500 Virginia Manor Rd, Beltsville, MD", 20705,Private,9-12,80,,
Hope Christian Academy,Currently unrated,Currently unrated,"3215 Powder Mill Road, Adelphi, MD", 20783,Private,PK-5,30,,
Hopewell Academy,Currently unrated,Currently unrated,"1810 Old Branch Ave, Clinton, MD", 20735,Private,K-2, 4-7,,
Mays Woodson Christian Academy,Currently unrated,Currently unrated,"7111 Windsor Blvd, Baltimore, MD", 21244,Private,PK-5,82,,
Mount Pleasant Christian School,Currently unrated,Currently unrated,"6000 Radecke Ave, Baltimore, MD", 21206,Private,PK-7,,,
New Spiritual Foundation Edu,Currently unrated,Currently unrated,"1615 N Patterson Park Ave, Baltimore, MD", 21213,Private,PK-2,,,
Open Bible Academy,Currently unrated,Currently unrated,"1619 Race Street, Cambridge, MD", 21613,Private,PK-12,35,,
Pleasant Rock Christian School,Currently unrated,Currently unrated,"1099 Scott St, Baltimore, MD", 21230,Private,PK-1,,,
Premier Academy,Currently unrated,Currently unrated,"2716 Verdis Ln, Crofton, MD", 21114,Private,PK-3, 5,,
Purpose & Potential Arts Academy,Currently unrated,Currently unrated,"5532 Harford Road, Baltimore, MD", 21214,Private,PK-12,32,,
Reid Temple Christian Academy,Currently unrated,Currently unrated,"11400 Glenn Dale Boulevard, Glenn Dale, MD", 20769,Private,PK-8,307,,
Board Of Child Care Strawbridge School,Currently unrated,Currently unrated,"3300 Gaither Road, Milford Mill, MD", 21244,Private,7-12,77,,
The Foundation School of Montgomery County,Currently unrated,Currently unrated,"220 Girard St, Gaithersburg, MD", 20877,Private,7-12,80,,
Meadowview Amish School,Currently unrated,Currently unrated,"28379 Thompson Corner Road, Mechanicsville, MD", 20659,Private,1-8,29,,
The Siena School,Currently unrated,Currently unrated,"1300 Forest Glen Road, Silver Spring, MD", 20901,Private,4-12,130,,
Thee Christian School,Currently unrated,Currently unrated,"44673 Willow Oak Ct, California, MD", 20619,Private,1-3, 5,,
Union Bethel Christian Academy,Currently unrated,Currently unrated,"P.O. Box 1563, Randallstown, MD", 21133,Private,PK-1,14,,
Willow Park Academy,Currently unrated,Currently unrated,"Po Box 47247, Baltimore, MD", 21244,Private,PK-3,88,,
Kid's Hill Daycare,Currently unrated,Currently unrated,"1001 Ridge Avenue, Mount Airy, MD", 21771,Private,PK-5,5,,
Crossroads Center,Currently unrated,Currently unrated,"11640 Crossroads Circle, Middle River, MD", 21220,Public district,7-12,178,7:1,Baltimore County Public Schools
Patterson Mill High School,8/10,Above average,"85 Patterson Mill Road, Bel Air, MD", 21015,Public district,9-12,833,14:1,Harford County Public Schools
Chesapeake Charter School,8/10,Above average,"20945 Great Mills Road, Lexington Park, MD", 20653,Public charter,K-8,360,13:1,St. Mary's County Public Schools
The Auburn School, Silver Spring Campus, 20910,"Currently unrated,9545 Georgia Avenue, Silver Spring", MD,Currently unrated,Private,K-8,38,
New Beginnings Formerly Oak Hill,Currently unrated,Currently unrated,"3201 Oak Hill Dr, Laurel, MD", 20724,Public district,Ungraded,,,
Glenn Dale Montessori,Currently unrated,Currently unrated,"7500 Hillmeade Road, Glenn Dale, MD", 20769,Private,PK-6,65,,
Elijah School,Currently unrated,Currently unrated,"392 Blake Rd, Elkton, MD", 21921,Private,6-12,8,,
The Legacy School,Currently unrated,Currently unrated,"115 Terrapin Road, Sykesville, MD", 21784,Private,1-8,60,,
All-State Career School,Currently unrated,Currently unrated,"2200 Broening Highway, Baltimore, MD", 21224,Private,Ungraded,1227,,
Princeton Day Academy,Currently unrated,Currently unrated,"701 Montgomery St, Laurel, MD", 20707,Private,7-12,50,,
Chesapeake Speech,Currently unrated,Currently unrated,"8920 Whiskey Bottom Road, Laurel, MD", 20723,Private,Ungraded,5,,
Cristo Rey Jesuit High School,Currently unrated,Currently unrated,"420 South Chester Street, Baltimore, MD", 21231,Private,9-12,273,,
The Diener School,Currently unrated,Currently unrated,"11510 Falls Road, Potomac, MD", 20854,Private,K-6,47,,
Faith Christian Fellowship Academy,Currently unrated,Currently unrated,"Po Box 667, Owings Mills, MD", 21117,Private,PK-8,95,,
Family Academy of Bethesda The,Currently unrated,Currently unrated,"4324 Montgomery Ave, Bethesda, MD", 20814,Private,K,9,,
The Forbush School At Prince Georges County,Currently unrated,Currently unrated,"4819 Walden Lane, Lanham, MD", 20706,Private,2-12,29,,
Forbush School At Oakmont Upper School The,Currently unrated,Currently unrated,"610 East Diamond Avenue, Gaithersburg, MD", 20877,Private,Ungraded,18,,
Gods Little Cherubs Elementary School,Currently unrated,Currently unrated,"5020 Gwynn Oak Ave, Baltimore, MD", 21207,Private,PK-3,27,,
Grace Episcopal Day School,Currently unrated,Currently unrated,"9411 Connecticut Avenue, Kensington, MD", 20895,Private,PK-5,96,,
Griggs International Academy,Currently unrated,Currently unrated,"12501 Old Columbia Pike, Silver Spring, MD", 20904,Private,K-12,1460,,
Helping Hands Child Development Academy,Currently unrated,Currently unrated,"3237 Level Road, Churchville, MD", 21028,Private,PK-2,16,,
Holiness Christian Academy,Currently unrated,Currently unrated,"30 Dogwood Rd, Elkton, MD", 21921,Private,2-3, 8-10,11,
Jabez Christian Academy,Currently unrated,Currently unrated,"5904 Marlboro Pike, District Heights, MD", 20746,Private,PK-8,26,,
Kemp Mill Montessori School Kehillat Montessori,Currently unrated,Currently unrated,"519 Lamberton Dr, Silver Spring, MD", 20902,Private,PK-5,43,,
Laurel Hall School - Frederick,Currently unrated,Currently unrated,"4540 Mack Avenue, Frederick, MD", 21703,Private,2-12,37,,
Learning Cooperative The,Currently unrated,Currently unrated,"1234 W 36th St, Baltimore, MD", 21211,Private,6-10,58,,
Living Grace Christian School,Currently unrated,Currently unrated,"20300 Pleasant Ridge Drive, Montgomery Village, MD", 20886,Private,K-12,150,,
The Maddux School,Currently unrated,Currently unrated,"11614 7 Locks Road, Rockville, MD", 20854,Private,PK-2,50,,
Marcia D Smith School,Currently unrated,Currently unrated,"9075 Comprint Court, Gaithersburg, MD", 20877,Private,8-12,11,,
Mount Jezreel Christian School,Currently unrated,Currently unrated,"420 University Boulevard East, Silver Spring, MD", 20901,Private,PK-5,27,,
Mount Pleasant Christian School,Currently unrated,Currently unrated,"6000 Radecke Avenue, Baltimore, MD", 21206,Private,PK-8,119,,
New Spiritual Foundation Christian Academy,Currently unrated,Currently unrated,"2626 E Federal St 2nd Fl, Baltimore, MD", 21213,Private,9-12,52,,
Oakdale Christian Academy,Currently unrated,Currently unrated,"3425 Emory Church Rd, Olney, MD", 20832,Private,K,12,,
Pathways School - Crossland Re Entry,Currently unrated,Currently unrated,"6901 Temple Hill Road, Temple Hills, MD", 20748,Private,10-12,9,,
Pathways School - Hyattsville,Currently unrated,Currently unrated,"3401 East West Hwy Ste 240, Hyattsville, MD", 20782,Private,5-6, 8,7,
Pin Cushion Mennonite School,Currently unrated,Currently unrated,"24981 Pin Cushion Road, Leonardtown, MD", 20650,Private,1-8,25,,
Play & Learn at Annapolis,Currently unrated,Currently unrated,"580 Taylor Ave B 1, Annapolis, MD", 21401,Private,K,1,,
Princeton Day Academy,Currently unrated,Currently unrated,"12138 Central Avenue, Bowie, MD", 20721,Private,9-12,38,,
St Demetrios Greek Orthodox Bilingual Day School,Currently unrated,Currently unrated,"Po Box 28218, Baltimore, MD", 21234,Private,PK-5,73,,
Clara Muhammad School,Currently unrated,Currently unrated,"3901 Park Heights Ave, Baltimore, MD", 21215,Private,PK-5,22,,
St Patrick School,Currently unrated,Currently unrated,"4101 Norbeck Road, Rockville, MD", 20853,Private,K-8,220,,
St Joseph's School,Currently unrated,Currently unrated,"105 Church Lane, Cockeysville, MD", 21030,Private,K-8,321,,
Stone Bridge Academy,Currently unrated,Currently unrated,"Po Box 1945 At Brook Lane Health Service, Hagerstown, MD", 21742,Private,5-11,10,,
Thomas Jefferson Preparatory School,Currently unrated,Currently unrated,"12801 Darnestown Road, Gaithersburg, MD", 20878,Private,PK-8,21,,
Trellis School The,Currently unrated,Currently unrated,"102 Lake Front Drive, Cockeysville, MD", 21030,Private,PK-2,14,,
Villa Maria School Of Harford County,Currently unrated,Currently unrated,"1370 Brass Mill Road, Belcamp, MD", 21017,Private,2-8,37,,
