names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
Smithsburg Middle School,8/10,Above average,"68 North Main Street, Smithsburg, MD", 21783,Public district,6-8,661,16:1,Washington County Public Schools
Mardela Middle & High School,8/10,Above average,"24940 Delmar Road, Mardela Springs, MD", 21837,Public district,6-12,667,12:1,Wicomico County Public Schools
Buckingham Elementary School,8/10,Above average,"100 Buckingham Road, Berlin, MD", 21811,Public district,PK-4,497,10:1,Worcester County Public Schools
Piney Orchard Elementary School,9/10,Above average,"2641 Strawberry Lake Way, Odenton, MD", 21113,Public district,K-5,675,15:1,Anne Arundel County Public Schools
Oakdale Elementary School,8/10,Above average,"5830 Oakdale School Road, Frederick, MD", 21701,Public district,PK-5,595,18:1,Frederick County Public Schools
Robert Goddard Montessori,9/10,Above average,"9850 Good Luck Road, Lanham, MD", 20706,Public district,PK-8,503,15:1,Prince George's County Public Schools
Mt. Savage Elementary School,7/10,Above average,"13201 New School Road Northwest, Mount Savage, MD", 21545,Public district,PK-5,207,17:1,Allegany County Public Schools
Huntingtown High School,8/10,Above average,"4125 Solomons Island Road, Huntingtown, MD", 20639,Public district,9-12,1438,17:1,Calvert County Public Schools
Centerville Elementary,9/10,Above average,"3601 Carriage Hill Drive, Frederick, MD", 21704,Public district,PK-5,999,18:1,Frederick County Public Schools
Patterson Mill Middle School,9/10,Above average,"85 Patterson Mill Road, Bel Air, MD", 21015,Public district,6-8,698,14:1,Harford County Public Schools
Veterans Elementary School,8/10,Above average,"4355 Montgomery Road, Ellicott City, MD", 21043,Public district,PK-5,912,12:1,Howard County Public Schools
Manchester Valley High School,8/10,Above average,"3300 Maple Grove Road, Manchester, MD", 21102,Public district,9-12,761,10:1,Carroll County Public Schools
Chesapeake Math and IT Academy South,8/10, 20747,"9822 Fallard Ct. Upper Marlboro, MD 20772, District Heights", MD,Above average,Public charter,6-9,748,19:1
Beall Elementary School,7/10,Above average,"3 East College Avenue, Frostburg, MD", 21532,Public district,PK-5,456,27:1,Allegany County Public Schools
Flintstone Elementary School,7/10,Above average,"22000 National Pike Northeast, Flintstone, MD", 21530,Public district,PK-5,234,17:1,Allegany County Public Schools
Washington Middle School,7/10,Above average,"200 Massachusetts Avenue, Cumberland, MD", 21502,Public district,6-8,622,19:1,Allegany County Public Schools
Cash Valley Elementary School,7/10,Above average,"10601 Cash Valley Road Northwest, La Vale, MD", 21502,Public district,PK-5,304,24:1,Allegany County Public Schools
Central Middle School,9/10,Above average,"221 Central Avenue East, Edgewater, MD", 21037,Public district,6-8,1122,14:1,Anne Arundel County Public Schools
Chesapeake High School,6/10,Average,"4798 Mountain Road, Pasadena, MD", 21122,Public district,9-12,1405,16:1,Anne Arundel County Public Schools
Lake Shore Elementary School,7/10,Above average,"4531 Mountain Road, Pasadena, MD", 21122,Public district,K-5,300,11:1,Anne Arundel County Public Schools
Magothy River Middle School,8/10,Above average,"241 Peninsula Farm Road, Arnold, MD", 21012,Public district,6-8,751,12:1,Anne Arundel County Public Schools
Maryland City Elementary School,6/10,Average,"3359 Crumpton South, Laurel, MD", 20724,Public district,PK-5,347,11:1,Anne Arundel County Public Schools
Mayo Elementary School,8/10,Above average,"1260 Mayo Ridge Road, Edgewater, MD", 21037,Public district,K-5,326,13:1,Anne Arundel County Public Schools
Oakwood Elementary School,6/10,Average,"330 Oak Manor Drive, Glen Burnie, MD", 21061,Public district,PK-5,296,12:1,Anne Arundel County Public Schools
Ridgeway Elementary School,7/10,Above average,"1440 Evergreen Road, Severn, MD", 21144,Public district,K-5,599,15:1,Anne Arundel County Public Schools
Riviera Beach Elementary School,7/10,Above average,"8515 Jenkins Road, Pasadena, MD", 21122,Public district,PK-5,335,12:1,Anne Arundel County Public Schools
Severn River Middle School,7/10,Above average,"241 Peninsula Farm Road, Arnold, MD", 21012,Public district,6-8,759,15:1,Anne Arundel County Public Schools
Severna Park Middle School,9/10,Above average,"450 Jumpers Hole Road, Severna Park, MD", 21146,Public district,6-8,1431,15:1,Anne Arundel County Public Schools
Shady Side Elementary School,7/10,Above average,"4859 Atwell Road, Shady Side, MD", 20764,Public district,PK-5,501,16:1,Anne Arundel County Public Schools
Southern Middle School,7/10,Above average,"5235 Solomons Island Road, Lothian, MD", 20711,Public district,6-8,764,13:1,Anne Arundel County Public Schools
Sunset Elementary School,7/10,Above average,"8572 Fort Smallwood Road, Pasadena, MD", 21122,Public district,PK-5,483,15:1,Anne Arundel County Public Schools
Crofton Meadows Elementary School,8/10,Above average,"2020 Tilghman Drive, Crofton, MD", 21114,Public district,K-5,576,15:1,Anne Arundel County Public Schools
Roland Park Elementary/Middle School,7/10,Above average,"5207 Roland Ave, Baltimore, MD", 21210,Public district,PK-8,1400,20:1,Baltimore City Public Schools
Seven Oaks Elementary School,7/10,Above average,"9220 Seven Courts Drive, Parkville, MD", 21234,Public district,PK-5,437,18:1,Baltimore County Public Schools
Lutherville Laboratory,8/10,Above average,"1700 York Road, Lutherville-Timonium, MD", 21093,Public district,PK-5,420,17:1,Baltimore County Public Schools
Gunpowder Elementary School,7/10,Above average,"9540 Holiday Manor Road, Nottingham, MD", 21236,Public district,K-5,562,18:1,Baltimore County Public Schools
Harford Hills Elementary School,6/10,Average,"8902 Old Harford Road, Parkville, MD", 21234,Public district,PK-5,419,16:1,Baltimore County Public Schools
Kingsville Elementary School,8/10,Above average,"7300 Sunshine Avenue, Kingsville, MD", 21087,Public district,K-5,355,18:1,Baltimore County Public Schools
Stoneleigh Elementary School,8/10,Above average,"900 Pemberton Road, Baltimore, MD", 21212,Public district,K-5,730,18:1,Baltimore County Public Schools
Summit Park Elementary School,8/10,Above average,"6920 Diana Road, Baltimore, MD", 21209,Public district,K-5,466,15:1,Baltimore County Public Schools
Woodbridge Elementary School,7/10,Above average,"1410 Pleasant Valley Drive, Catonsville, MD", 21228,Public district,PK-5,432,18:1,Baltimore County Public Schools
Plum Point Middle School,8/10,Above average,"1475 Plum Point Road, Huntingtown, MD", 20639,Public district,6-8,748,16:1,Calvert County Public Schools
Beach Elementary School,8/10,Above average,"7900 Old Bayside Road, Chesapeake Beach, MD", 20732,Public district,PK-5,576,18:1,Calvert County Public Schools
Huntingtown Elementary School,7/10,Above average,"4345 Huntingtown Road, Huntingtown, MD", 20639,Public district,PK-5,468,17:1,Calvert County Public Schools
Mount Harmony Elementary School,8/10,Above average,"900 West Mount Harmony Road, Owings, MD", 20736,Public district,K-5,525,17:1,Calvert County Public Schools
Northern Middle School,7/10,Above average,"2954 Chaneyville Road, Owings, MD", 20736,Public district,6-8,679,17:1,Calvert County Public Schools
Northern High School,9/10,Above average,"2950 Chaneyville Road, Owings, MD", 20736,Public district,9-12,1484,17:1,Calvert County Public Schools
Patuxent High School,7/10,Above average,"12485 Southern Connector Boulevard, Lusby, MD", 20657,Public district,9-12,1045,16:1,Calvert County Public Schools
Windy Hill Elementary School,8/10,Above average,"9550 Boyds Turn Rd, Owings, MD", 20736,Public district,PK-5,736,16:1,Calvert County Public Schools
Sunderland Elementary School,8/10,Above average,"150 C Jones Road, Sunderland, MD", 20689,Public district,PK-5,726,17:1,Calvert County Public Schools
Friendship Valley Elementary School,7/10,Above average,"1100 Gist Road, Westminster, MD", 21157,Public district,K-5,484,8:1,Carroll County Public Schools
Runnymede Elementary School,7/10,Above average,"3000 Langdon Drive, Westminster, MD", 21158,Public district,PK-5,539,8:1,Carroll County Public Schools
Eldersburg Elementary School,8/10,Above average,"1021 Johnsville Road, Eldersburg, MD", 21784,Public district,PK-5,474,10:1,Carroll County Public Schools
Westminster Elementary School,8/10,Above average,"811 Uniontown Road, Westminster, MD", 21158,Public district,PK-5,476,10:1,Carroll County Public Schools
Westminster West Middle School,7/10,Above average,"60 Monroe Street, Westminster, MD", 21157,Public district,6-8,1017,11:1,Carroll County Public Schools
Malcolm Elementary School,7/10,Above average,"14760 Poplar Hill Road, Waldorf, MD", 20601,Public district,PK-5,427,15:1,Charles County Public Schools
Mt Hope/Nanjemoy Elementary School,6/10,Average,"9275 Ironsides Road, Nanjemoy, MD", 20662,Public district,PK-5,326,13:1,Charles County Public Schools
Twin Ridge Elementary School,8/10,Above average,"1106 Leafy Hollow Circle, Mount Airy, MD", 21771,Public district,PK-5,530,17:1,Frederick County Public Schools
Windsor Knolls Middle School,8/10,Above average,"11150 Windsor Road, Ijamsville, MD", 21754,Public district,6-8,781,18:1,Frederick County Public Schools
Glade Elementary School,8/10,Above average,"9525 Glade Road, Walkersville, MD", 21793,Public district,PK-5,638,18:1,Frederick County Public Schools
Green Valley Elementary School,8/10,Above average,"11501 Fingerboard Road, Monrovia, MD", 21770,Public district,PK-5,367,15:1,Frederick County Public Schools
Lewistown Elementary School,7/10,Above average,"11119 Hessong Bridge Road, Thurmont, MD", 21788,Public district,K-5,168,11:1,Frederick County Public Schools
Liberty Elementary School,7/10,Above average,"11820 Liberty Road, Frederick, MD", 21701,Public district,K-5,283,15:1,Frederick County Public Schools
Middletown High School,8/10,Above average,"200 Schoolhouse Drive, Middletown, MD", 21769,Public district,9-12,1151,19:1,Frederick County Public Schools
North Frederick Elementary School,7/10,Above average,"1010 Fairview Avenue, Frederick, MD", 21701,Public district,PK-5,635,14:1,Frederick County Public Schools
Ballenger Creek Elementary School,7/10,Above average,"5250 Kingsbrook Drive, Frederick, MD", 21703,Public district,PK-5,657,17:1,Frederick County Public Schools
Northern Middle School,7/10,Above average,"371 Pride Parkway, Accident, MD", 21520,Public district,6-8,316,11:1,Garrett County Public Schools
Church Creek Elementary School,7/10,Above average,"4299 Church Creek Road, Belcamp, MD", 21017,Public district,PK-5,798,17:1,Harford County Public Schools
Dublin Elementary School,7/10,Above average,"1527 Whiteford Road, Street, MD", 21154,Public district,PK-5,266,15:1,Harford County Public Schools
Forest Lakes Elementary School,8/10,Above average,"100 Osborne Parkway, Forest Hill, MD", 21050,Public district,K-5,460,15:1,Harford County Public Schools
Havre De Grace Elementary School,6/10,Average,"600 South Juniata Street, Havre de Grace, MD", 21078,Public district,PK-5,450,12:1,Harford County Public Schools
Havre De Grace High School,7/10,Above average,"700 Congress Avenue, Havre de Grace, MD", 21078,Public district,9-12,605,11:1,Harford County Public Schools
Homestead/Wakefield Elementary School,9/10,Above average,"900 South Main Street, Bel Air, MD", 21014,Public district,PK-5,949,13:1,Harford County Public Schools
Jarrettsville Elementary School,8/10,Above average,"3818 Norrisville Road, Jarrettsville, MD", 21084,Public district,K-5,441,13:1,Harford County Public Schools
Joppatowne Elementary School,8/10,Above average,"407 Trimble Road, Joppa, MD", 21085,Public district,PK-5,558,13:1,Harford County Public Schools
Youths Benefit Elementary School,8/10,Above average,"1901 Fallston Road, Fallston, MD", 21047,Public district,K-5,997,15:1,Harford County Public Schools
North Harford Elementary School,7/10,Above average,"120 Pylesville Road, Pylesville, MD", 21132,Public district,PK-5,405,14:1,Harford County Public Schools
Burleigh Manor Middle School,8/10,Above average,"4200 Centennial Lane, Ellicott City, MD", 21042,Public district,6-8,771,14:1,Howard County Public Schools
Atholton Elementary School,8/10,Above average,"6700 Seneca Drive, Columbia, MD", 21046,Public district,PK-5,424,12:1,Howard County Public Schools
Centennial High School,9/10,Above average,"4300 Centennial Lane, Ellicott City, MD", 21042,Public district,9-12,1465,15:1,Howard County Public Schools
Laurel Woods Elementary School,6/10,Average,"9250 North Laurel Road, Laurel, MD", 20723,Public district,PK-5,610,11:1,Howard County Public Schools
Gorman Crossing Elementary School,7/10,Above average,"9999 Winter Sun Road, Laurel, MD", 20723,Public district,PK-5,698,12:1,Howard County Public Schools
Rosa M. Parks Middle School,8/10,Above average,"19200 Olney Mill Road, Olney, MD", 20832,Public district,6-8,902,16:1,Montgomery County Public Schools
Rocky Hill Middle School,7/10,Above average,"22401 Brick Haven Way, Clarksburg, MD", 20871,Public district,6-8,1279,15:1,Montgomery County Public Schools
Ashburton Elementary School,7/10,Above average,"6314 Lone Oak Drive, Bethesda, MD", 20817,Public district,PK-5,911,15:1,Montgomery County Public Schools
Candlewood Elementary School,8/10,Above average,"7210 Osprey Drive, Derwood, MD", 20855,Public district,K-5,356,16:1,Montgomery County Public Schools
Fallsmead Elementary School,9/10,Above average,"1800 Greenplace Terrace, Rockville, MD", 20850,Public district,PK-5,535,16:1,Montgomery County Public Schools
Glen Haven Elementary School,7/10,Above average,"10900 Inwood Avenue, Silver Spring, MD", 20902,Public district,PK-5,551,12:1,Montgomery County Public Schools
John H. Poole Middle School,9/10,Above average,"17014 Tom Fox Avenue, Poolesville, MD", 20837,Public district,6-8,332,14:1,Montgomery County Public Schools
Kingsview Middle School,8/10,Above average,"18909 Kingsview Road, Germantown, MD", 20874,Public district,6-8,1034,15:1,Montgomery County Public Schools
Rock Creek Valley Elementary School,7/10,Above average,"5121 Russett Road, Rockville, MD", 20853,Public district,PK-5,437,10:1,Montgomery County Public Schools
Thomas S. Wootton High School,8/10,Above average,"2100 Wootton Parkway, Rockville, MD", 20850,Public district,9-12,2206,18:1,Montgomery County Public Schools
Walter Johnson High School,8/10,Above average,"6400 Rock Spring Drive, Bethesda, MD", 20814,Public district,9-12,2289,17:1,Montgomery County Public Schools
Wheaton Woods Elementary School,7/10,Above average,"15101 Bauer Drive, Rockville, MD", 20853,Public district,PK-5,532,12:1,Montgomery County Public Schools
Tilden Middle School,8/10,Above average,"11211 Old Georgetown Road, Rockville, MD", 20852,Public district,6-8,850,13:1,Montgomery County Public Schools
Stone Mill Elementary School,9/10,Above average,"14323 Stonebridge View Drive, North Potomac, MD", 20878,Public district,PK-5,644,14:1,Montgomery County Public Schools
Ronald A. Mcnair Elementary School,8/10,Above average,"13881 Hopkins Road, Germantown, MD", 20874,Public district,PK-5,841,17:1,Montgomery County Public Schools
Dr. Charles R. Drew Elementary School,8/10,Above average,"1200 Swingingdale Drive, Silver Spring, MD", 20905,Public district,PK-5,488,12:1,Montgomery County Public Schools
Yorktown Elementary School,8/10,Above average,"7301 Race Track Rd, Bowie, MD", 20715,Public district,K-5,375,15:1,Prince George's County Public Schools
Kingsford Elementary School,6/10,Average,"1401 Enterprise Road, Mitchellville, MD", 20721,Public district,PK-6,580,19:1,Prince George's County Public Schools
Eleanor Roosevelt High School,6/10,Average,"7601 Hanover Parkway, Greenbelt, MD", 20770,Public district,9-12,2506,19:1,Prince George's County Public Schools
Kenilworth Elementary School,6/10,Average,"12520 Kembridge Drive, Bowie, MD", 20715,Public district,K-5,327,12:1,Prince George's County Public Schools
Samuel Ogle Middle School,7/10,Above average,"4111 Chelmont Lane, Bowie, MD", 20715,Public district,6-8,836,14:1,Prince George's County Public Schools
Centreville Middle School,8/10,Above average,"231 Ruthsburg Road, Centreville, MD", 21617,Public district,6-8,536,15:1,Queen Anne's County Public Schools
Church Hill Elementary School,7/10,Above average,"631 Main Street, Church Hill, MD", 21623,Public district,PK-4,322,13:1,Queen Anne's County Public Schools
Grasonville Elementary School,6/10,Average,"5435 Main Street, Grasonville, MD", 21638,Public district,PK-5,492,16:1,Queen Anne's County Public Schools
Crisfield Academy And High School,5/10,Average,"210 North Somerset Avenue, Crisfield, MD", 21817,Public district,8-12,361,13:1,Somerset County Public Schools
Leonardtown Elementary School,7/10,Above average,"22885 Duke Street, Leonardtown, MD", 20650,Public district,PK-5,492,17:1,St. Mary's County Public Schools
Piney Point Elementary School,7/10,Above average,"44550 Tall Timbers Road, Tall Timbers, MD", 20690,Public district,PK-5,495,16:1,St. Mary's County Public Schools
Lettie Marshall Dent Elementary School,7/10,Above average,"37840 New Market Turner Road, Mechanicsville, MD", 20659,Public district,PK-5,638,19:1,St. Mary's County Public Schools
Washington County Technical High School,8/10,Above average,"50 West Oak Ridge Drive, Hagerstown, MD", 21740,Public district,11-12,544,14:1,Washington County Public Schools
Boonsboro Middle School,7/10,Above average,"1 Jh Wade Drive, Boonsboro, MD", 21713,Public district,6-8,793,15:1,Washington County Public Schools
Clear Spring Middle School,7/10,Above average,"12628 Broadfording Road, Clear Spring, MD", 21722,Public district,6-8,416,14:1,Washington County Public Schools
Old Forge Elementary School,7/10,Above average,"21615 Old Forge Road, Hagerstown, MD", 21742,Public district,K-5,305,14:1,Washington County Public Schools
Smithsburg High School,8/10,Above average,"66 North Main Street, Smithsburg, MD", 21783,Public district,9-12,763,17:1,Washington County Public Schools
Northwestern Elementary School,7/10,Above average,"9975 Sharptown Road, Mardela Springs, MD", 21837,Public district,PK-5,302,18:1,Wicomico County Public Schools
Pittsville Elementary & Middle School,7/10,Above average,"34404 Old Ocean City Road, Pittsville, MD", 21850,Public district,4-8,388,12:1,Wicomico County Public Schools
Pocomoke Middle School,6/10,Average,"800 8th Street, Pocomoke City, MD", 21851,Public district,4-8,416,9:1,Worcester County Public Schools
Pocomoke High School,6/10,Average,"1817 Old Virginia Road, Pocomoke City, MD", 21851,Public district,9-12,333,11:1,Worcester County Public Schools
Snow Hill Middle School,6/10,Average,"522 Coulbourne Lane, Snow Hill, MD", 21863,Public district,4-8,360,9:1,Worcester County Public Schools
Stephen Decatur High School,7/10,Above average,"9913 Seahawk Road, Berlin, MD", 21811,Public district,9-12,1346,15:1,Worcester County Public Schools
Shiloh Middle School,8/10,Above average,"3675 Willow Street, Hampstead, MD", 21074,Public district,6-8,657,11:1,Carroll County Public Schools
Spark M. Matsunaga Elementary School,8/10,Above average,"13902 Bromfield Road, Germantown, MD", 20874,Public district,K-5,860,18:1,Montgomery County Public Schools
Oakdale Middle School,9/10,Above average,"5810 Oakdale School Road, Ijamsville, MD", 21754,Public district,6-8,639,17:1,Frederick County Public Schools
