names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Edgecombe Circle Elementary School,1/10,5/10,,1/10
Fallstaff Elementary School,1/10,4/10,,1/10
Fort Worthington Elementary School,1/10,4/10,,1/10
Furley Elementary School,2/10,5/10,,2/10
Furman L. Templeton Elementary School,1/10,6/10,,1/10
Gardenville Elementary School,1/10,4/10,,1/10
George Washington Elementary School,2/10,3/10,,2/10
Gilmor Elementary School,1/10,3/10,,1/10
Govans Elementary School,2/10,6/10,,2/10
Harlem Park Elementary School,1/10,5/10,,1/10
Highlandtown Elementary #237,2/10,4/10,,2/10
James Mchenry Elementary School,1/10,4/10,,1/10
James Mosher Elementary School,1/10,4/10,,1/10
Johnston Square Elementary School,1/10,3/10,,1/10
Margaret Brent Elementary School,2/10,4/10,,2/10
Mary E. Rodman Elementary School,1/10,3/10,,1/10
Matthew A. Henson Elementary School,1/10,4/10,,1/10
Northwestern High School,1/10,,1/10,1/10
Patterson High School,1/10,,2/10,1/10
Pimlico Elementary School,1/10,4/10,,1/10
Robert W. Coleman Elementary School,1/10,5/10,,1/10
Rognel Heights Elementary/Middle School,1/10,3/10,,1/10
The Historic Samuel Coleridge-Taylor Elementary School,1/10,,,1/10
Samuel F. B. Morse Elementary School,1/10,4/10,,1/10
Sarah M. Roach Elementary School,1/10,6/10,,1/10
Tench Tilghman Elementary School,1/10,4/10,,1/10
Westport Academy,1/10,5/10,,1/10
Guilford Elementary/Middle School,1/10,3/10,,1/10
Deep Creek Elementary School,1/10,4/10,,1/10
Overlea High & Academy Of Finance,1/10,,4/10,1/10
White Oak School,1/10,,,1/10
Gilpin Manor Elementary School,2/10,3/10,,2/10
Dufief Elementary School,9/10,7/10,,1/10
Kensington Parkwood Elementary School,9/10,7/10,,4/10
Annapolis Road Academy Alternative High School,1/10,,,1/10
Clinton Grove Elementary School,2/10,3/10,,1/10
District Heights Elementary School,2/10,4/10,,1/10
Forest Heights Elementary School,1/10,3/10,,2/10
Northwestern Evening/Saturday High,1/10,,1/10,1/10
Hillcrest Heights Elementary School,1/10,3/10,,2/10
Crossland Evening/Saturday High,1/10,,1/10,1/10
John H. Bayne Elementary School,2/10,5/10,,2/10
Harford Heights Elementary School,1/10,4/10,,1/10
Rosaryville Elementary School,2/10,4/10,,2/10
Connexions Community Leadership Academy,1/10,3/10,2/10,1/10
National Academy Foundation,1/10,3/10,3/10,1/10
Cora L. Rice Elementary School,1/10,3/10,,1/10
New Era Academy,1/10,3/10,1/10,1/10
Vivien T. Thomas Medical Arts Academy,2/10,,2/10,1/10
Coppin Academy,1/10,,6/10,1/10
Renaissance Academy,1/10,,2/10,1/10
Southwest Baltimore Charter School,2/10,4/10,,2/10
Baltimore Montessori Public Charter School,4/10,3/10,,1/10
New Hope Academy,1/10,,1/10,1/10
K.A.S.A. (Knowledge And Success Academy),1/10,3/10,2/10,1/10
The Reach! Partnership School,1/10,,2/10,1/10
East Baltimore Community School,2/10,5/10,,2/10
Monarch Academy Public Charter School,2/10,4/10,,1/10
Bluford Drew Jemison Stem Academy West,1/10,,3/10,1/10
Roots and Branches,1/10,3/10,,1/10
Phoenix Academy,1/10,2/10,1/10,1/10
Creative City Public Charter School,1/10,,,1/10
Edward M. Felegy ES,2/10,3/10,,2/10
Mary Moss at Adams Academy,1/10,,,1/10
Banneker Blake Academy for Arts and Sciences,1/10,,,1/10
Arnold Elementary School,10/10,8/10,,
Benfield Elementary School,10/10,8/10,,
Crofton Woods Elementary School,10/10,,,10/10
Deale Elementary School,9/10,,,
Folger McKinsey Elementary School,10/10,9/10,,
Jones Elementary School,10/10,6/10,,
Millersville Elementary School,10/10,,,
Severna Park Elementary School,10/10,8/10,,
West Annapolis Elementary School,10/10,8/10,,
Anne Arundel Evening High,,,,
Center Of Applied Technology-North,,,,
Center Of Applied Technology-South,,,,
Shipley's Choice Elementary School,10/10,8/10,,
The Keystone School,,,,
Canton Middle School,,,,
Baltimore IT Academy,,,,
Claremont School,,,,
K12 International Academy,,,,
Frederick Douglass High School,,,1/10,
George G. Kelson Elementary School,,,,
George W.F. McMechen High School,,,1/10,
Fernwood Montessori School,,,,
Harbor City High School,,,,
Henson Valley Academy,,,,
Lombard Middle School,,,,
Oak Grove Classical Christian School,,,,
William S. Baer School,,,,
Alternative Elementary School,,,,
Eager Street Academy,,,,
Francis M. Wood Alternative High School,,,,
Lois T. Murray Elementary School,,,,
Sharp-Leadenhall Elementary School,1/10,,,
Paul Laurence Dunbar Middle School,,,,
Frederick Elementary School,,,,1/10
George W. Carver Center For Arts & Technology,8/10,,9/10,9/10
Western School Of Technology & Env. Science,8/10,,10/10,10/10
Carroll Manor Elementary School,10/10,8/10,,
Chesapeake Terrace Elementary School,,,,5/10
Eastern Technical High School,,,10/10,10/10
Fifth District Elementary School,9/10,6/10,,
Milford Mill Academy,1/10,,5/10,1/10
Catonsville Center For Alternative Studies,,,,
Patapsco High & Center For Arts,3/10,,5/10,3/10
Pinewood Elementary School,10/10,9/10,,
Prettyboy Elementary School,8/10,7/10,,
Riderwood Elementary School,10/10,7/10,,
Rodgers Forge Elementary School,10/10,8/10,,
Jacksonville Elementary School,10/10,,,
Seventh District Elementary School,9/10,7/10,,
Sparks Elementary School,10/10,8/10,,
Meadowood Education Center,,,,
Rosedale Center,,,,
Afternoon Group Learning Centers,,,,
Evening High School,,,,
Home Teaching-Elementary School,,,,
Home Teaching-Middle/High School,2/10,,,
Sollers Point/Southeastern Technical High School,,,,
Timonium Elementary School,10/10,8/10,,
Calvert Country School,,,,
Career And Technology Academy,,,,
Caroline Career & Technology Center,,,,
Carroll Springs School,,,,
Carrolltowne Elementary School,9/10,7/10,,
The Auburn School, Baltimore Campus,,,
South Carroll High School,9/10,,9/10,4/10
Crossroads Middle School,,,,
Carroll County Career & Technology Center,,,,
Liberty High School,,,10/10,
Perryville Elementary School,,,,
Cecil County School Of Technology,,,,
Robert D. Stethem Educational Center,,,,
Judith P. Hoyer Early Childhood Center,,,,
Dorchester County Career And Technology Center,,,,
New Market Elementary School,10/10,6/10,,
Wolfsville Elementary School,8/10,8/10,,
Deer Crossing Elementary School,9/10,,,
Frederick County Evening High,,,,
Frederick County Career & Technology Center,,,,
Heather Ridge High School,,,,
Kemptown Elementary School,9/10,9/10,,
Heather Ridge Middle School,,,,
Bloomington Elementary School,,,,
Route 40 Elementary School,6/10,5/10,,
Swan Meadow School,,,,
Center For Educational Opportunity,,,,
Emmorton Elementary School,9/10,8/10,,5/10
Churchville Elementary School,10/10,8/10,,
Darlington Elementary School,9/10,7/10,,
Harford Technical High School,,,9/10,10/10
John Archer School,,,1/10,
Norrisville Elementary School,7/10,5/10,,
Mount View Middle School,10/10,6/10,,8/10
Bushy Park Elementary School,10/10,7/10,,10/10
Centennial Lane Elementary School,10/10,7/10,,
Clarksville Elementary School,10/10,8/10,,
Clarksville Middle School,10/10,7/10,,
Glenelg High School,9/10,,10/10,10/10
Lisbon Elementary School,9/10,6/10,,
Northfield Elementary School,10/10,6/10,,6/10
West Friendship Elementary School,10/10,8/10,,
Worthington Elementary School,10/10,8/10,,7/10
Ilchester Elementary School,10/10,6/10,,10/10
River Hill High School,10/10,,10/10,10/10
Fulton Elementary School,10/10,6/10,,9/10
Triadelphia Ridge Elementary School,10/10,8/10,,
Cedar Lane Special Center,,,,
Waverly Elementary School,10/10,8/10,,9/10
Pointers Run Elementary School,10/10,8/10,,9/10
Stephen Knolls School,,,,
Bannockburn Elementary School,10/10,8/10,,10/10
Bel Pre Elementary School,,,,
Bells Mill Elementary School,10/10,8/10,,10/10
Belmont Elementary School,9/10,6/10,,
Bethesda Elementary School,9/10,6/10,,10/10
Beverly Farms Elementary School,9/10,7/10,,7/10
Bradley Hills Elementary School,10/10,8/10,,10/10
Burning Tree Elementary School,10/10,8/10,,
Carderock Springs Elementary School,10/10,9/10,,
Carl Sandburg Center,,,,
Cold Spring Elementary School,10/10,8/10,,
Darnestown Elementary School,9/10,7/10,,
West Towson Elementary School,10/10,8/10,,
Arundel Christian School,,,,
Greenwood Elementary School,9/10,,,3/10
Lakewood Elementary School,10/10,8/10,,6/10
Longview School,,,,
Montgomery Knolls Elementary School,,,,
New Hampshire Estates Elementary School,,,,
Potomac Elementary School,10/10,7/10,,
Rosemary Hills Elementary School,,,,
Seven Locks Elementary School,10/10,8/10,,10/10
Takoma Park Elementary School,,,,
Travilah Elementary School,10/10,8/10,,
Wayside Elementary School,10/10,7/10,,
Westbrook Elementary School,9/10,8/10,,
Winston Churchill High School,,,10/10,9/10
Wood Acres Elementary School,9/10,7/10,,10/10
Woodfield Elementary School,9/10,8/10,,5/10
Wyngate Elementary School,10/10,8/10,,7/10
Thomas Edison High School Of Technology,,,,
Regional Institute For Children & Adolescents,2/10,,2/10,2/10
Alternative Programs,,,1/10,
Rock Terrace School,,,1/10,
Thomas W. Pyle Middle School,10/10,8/10,,10/10
Judith P. Hoyer Montessori School,6/10,6/10,,5/10
Berkshire Elementary School,,,,
Green Valley Academy At Edgar Allan Poe,,,,
John Carroll Elementary School,,,,
John Eager Howard Elementary School,,,,
Matthew Henson Elementary School,,,,
Middleton Valley Elementary School,,,,
Morningside Elementary School,,,,
Owens Road Elementary School,,,,
Croom Vocational High School,,,2/10,1/10
Benjamin Foulois Creative and Performing Arts Academy,,,,
Andrew Jackson Middle School,,,,
Centreville Elementary School,,,,
Kent Island Elementary School,,,,
J. M. Tawes Vocational Center,,,,
Deal Island School,6/10,6/10,,
Ewell School,,,,
Dr. James A. Forrest Career And Technology Center,,,,
St. Mary's County Evening High,,,,
Tilghman Elementary School,9/10,,,
Evening High School,,,,
Antietam Academy,,,,
Wicomico County Evening High,,,,
Beaver Run School,,,,
Charles H. Chipman Elementary School,,,,
Westside Primary School,,,,
Worcester Technical High School,,,,
Cedar Chapel Special School,,,,
Snow Hill Elementary School,8/10,,,5/10
Holy Family Catholic School,,,,
The Children's Guild,,,,
St. Peter's School,,,,
St John Catholic School,,,,
Notre Dame Preparatory School,,,,
Calvert Hall College High School,,,,
St. John the Evangelist School,,,,
St. Philip Neri Elementary School,,,,
Immaculate Conception School,,,,
Our Lady Of Perpetual Help School,,,,
Saint John the Evangelist Catholic School,,,,
Ascension Parish School,,,,
St Mary Catholic School,,,,
St Maria Goretti High School,,,,
Brookewood School,,,,
Monsignor Slade Catholic School,,,,
St. Michael School,,,,
St. John Regional Catholic School,,,,
Resurrection-St. Paul School,,,,
Shrine of Little Flower School,,,,
Shrine of the Sacred Heart School,,,,
St. Agnes School,,,,
St. Alphonsus-Basilica School,,,,
St Augustine School,,,,
St. Dominic Elementary and Midd,,,,
The New All Sts. Parish School,,,,
St Joan Of Arc School,,,,
St Mary Elementary School,,,,
St Marys High School,,,,
Archbishop Curley High School,,,,
Bishop John Neumann School,,,,
St. John Neumann School,,,,
Cardinal Gibbons School,,,,
Holy Angels Catholic School,,,,
Father Charles Hall Middle School,,,,
St Casimir Catholic School,,,,
Immaculate Heart Of Mary School,,,,
Institute Of Notre Dame,,,,
St. Bernardine Catholic School,,,,
Mercy High School,,,,
Our Lady Of Hope St Luke School,,,,
Our Lady of Fatima School,,,,
Archbishop Borders School,,,,
John Paul Regional Catholic School,,,,
Our Lady Of Mt Carmel School,,,,
Mount Saint Joseph High School,,,,
St Michael The Archangel School,,,,
St Mark School,,,,
Mother Seton School,,,,
Bishop Walsh School,,,,
St. Louis School,,,,
Mount De Sales High School,,,,
St. Stephen School,,,,
St. William of York,,,,
St Ursula School,,,,
St. Rose of Lima School,,,,
St Pius X School,,,,
St Clement Mary Hofbauer School,,,,
St Ambrose Catholic School,,,,
Arts & Ideas Sudbury School,,,,
Holy Family School,,,,
Archbishop Spalding High School,,,,
St. Elizabeth of Hungary Elementary School,,,,
St Frances Academy,,,,
School Of The Cathedral Mary Our Queen,,,,
St Francis Of Assisi School,,,,
John Carroll School,,,,
Holy Spirit School,,,,
The Seton Keough High School,,,,
Cardinal Shehan School,,,,
Sacred Heart of Mary School,,,,
Our Lady Of Victory School,,,,
St. Thomas Aquinas School,,,,
Loyola Blakefield,,,,
Visitation Academy,,,,
Barrie School,,,,
Julia Brown Montessori Schools,,,,
Christ Episcopal School,,,,
St. John's Episcopal School,,,,
Holy Trinity Episcopal Day School,,,,
Christian Community Fellowship,,,,
Paint Branch Montessori School,,,,
Friends School of Baltimore,,,,
Phillips School - Laurel,,,,
Riverdale Baptist School,,,,
Berwyn Christian School,,,,
The Barnesville School,,,,
Countryside Christian School,,,,
German International School Washington D.C.,,,,
The Bullis School,,,,
Indian Creek School,,,,
Oldfields School,,,,
Eagle Cove School,,,,
St Pauls School,,,,
Open Bible Christian Academy,,,,
Grace Brethren Christian School,,,,
The Wilkes School At Grace & St Peter's,,,,
St James Academy,,,,
Hebrew Day Institute,,,,
Israel Henry Beren High School,,,,
Bais Yaakov School For Girls,,,,
Talmudical Academy-Baltimore,,,,
Berman Hebrew Academy,,,,
Roland Park Country School,,,,
Pilgrim Christian Day School,,,,
Baltimore Middle & Upper School,,,,
St Paul Lutheran School,,,,
St Pauls Lutheran School,,,,
Concordia Lutheran School,,,,
Washington Classical & Christian School,,,,
Saint James School,,,,
Queen Anne School,,,,
Grace Episcopal Day School,,,,
Worcester Preparatory School,,,,
Green Acres School,,,,
Paradise Mennonite School,,,,
Salisbury Christian School,,,,
Victory Christian Academy,,,,
St Martins Lutheran Church School,,,,
The Primary Day School,,,,
Bowie Montessori Childrens House,,,,
St. Timothys Day School,,,,
Annapolis Area Christian School - Middle School,,,,
Washington Christian Academy,,,,
Kent School,,,,
Gilman School,,,,
West Nottingham Academy,,,,
Mcdonogh School,,,,
Severn School,,,,
The Tome School,,,,
Key School,,,,
Garrison Forest School,,,,
Glenelg Country School,,,,
Park School of Baltimore,,,,
The Bryn Mawr School,,,,
Holton-Arms School,,,,
Landon School,,,,
Norwood School,,,,
Grace Academy,,,,
Harbor School,,,,
Harford Christian School,,,,
Jemicy School,,,,
Perry Hall Christian School,,,,
The Journey School,,,,
Concord Hill School,,,,
Country School,,,,
The Gunston School,,,,
Mitchellville School,,,,
The Frost School,,,,
The Forbush School At Glyndon,,,,
Clinton Christian School,,,,
Carroll Christian Schools,,,,
Capitol Christian Academy,,,,
Broadfording Christian Academy,,,,
Arlington Baptist School,,,,
Truth Christian Academy,,,,
Huyetts Mennonite School,,,,
Tri-State Christian Academy,,,,
St. Elizabeth School,,,,
Willowbrook Childrens House,,,,
Takoma Academy,,,,
Baltimore Junior Academy,,,,
Atholton Adventist Academy,,,,
Beltsville Sda School,,,,
Crest Lane Sda Church School,,,,
Eastern Shore Junior Academy,,,,
Heritage Academy,,,,
Highland View Academy,,,,
John Nevins Andrews School,,,,
Mount Aetna Adventist School,,,,
Sligo Adventist School,,,,
St. Hughs School,,,,
Spencerville Adventist Academy,,,,
Susquehanna Adventist School,,,,
The Maryland School For The Blind,,,,
Hannah More School,,,,
Frederick Adventist Academy,,,,
Martin Barr Adventist School,,,,
Good Shepherd Catholic School,,,,
Immaculate Conception School,,,,
Mount Aviat Academy,,,,
Ss Peter & Paul Elementary School,,,,
St Francis De Sales Catholic School,,,,
Ss Peter & Paul High School,,,,
Archbishop Neale School,,,,
Bishop Mcnamara High School,,,,
Connelly School of the Holy Child,,,,
Dematha Catholic High School,,,,
Elizabeth Seton High School,,,,
Father Andrew White Sj School,,,,
Georgetown Preparatory School,,,,
Our Lady Of Good Counsel High School,,,,
Holy Angels Sacred Heart School,,,,
Academy Of The Holy Cross,,,,
Holy Cross School,,,,
Holy Redeemer Catholic Elementary School,,,,
Holy Redeemer School,,,,
Mother Catherine Spalding School,,,,
Mount Calvary Catholic School,,,,
Our Lady Of Lourdes School,,,,
Our Lady Of Mercy School,,,,
Don Bosco Cristo Rey High School,,,,
Our Lady Star of the Sea School,,,,
The Woods Academy,,,,
St. Mary's Ryken High School,,,,
St Ambrose Elementary School,,,,
St Andrew Apostle School,,,,
St. Bartholomew School,,,,
St Bernadette School,,,,
High Road School of Anne Arundel County,,,,
St. Bernard's Elementary School,,,,
St. Francis International School,,,,
St Catherine Laboure School,,,,
St Columba Catholic School,,,,
St Elizabeth Catholic School,,,,
St Jane De Chantal School,,,,
St. Jerome Academy,,,,
St John's Elementary School,,,,
St John The Evangelist School,,,,
St John The Evangelist School,,,,
St John The Baptist School,,,,
St. Joseph Catholic School,,,,
St. Jude School,,,,
St Martin Of Tours School,,,,
St. Mary School,,,,
St Marys Elementary School,,,,
St Mary Of The Assumption School,,,,
St. Mary's School,,,,
St Mary Of The Mills School,,,,
St. Mary's School,,,,
The Academy of Saint Matthias the Apostle,,,,
St Michaels School,,,,
St Michael The Archangel Catholic School,,,,
St Peter's School,,,,
St. Peter's School,,,,
St. Pius X School,,,,
St. Mary Star of the Sea School,,,,
Stone Ridge School Of The Sacred Heart,,,,
Little Flower School,,,,
Little Flower School,,,,
Mater Dei School,,,,
Chestertown Christian Academy,,,,
Lanham Christian School,,,,
St Andrew's Episcopal School,,,,
Catholic Community School,,,,
St James & St John School,,,,
Harford Day School,,,,
Saint John's Catholic Prep,,,,
Leonard Hall Jr Naval Academy,,,,
Independent Baptist Academy,,,,
Chesapeake Academy,,,,
Calvary Baptist Church Academy,,,,
Calvary Chapel Christian Academy,,,,
Odenton Christian Academy,,,,
Liberty Christian School,,,,
St. Paul's School for Girls,,,,
North Carroll Community School,,,,
The Calverton School,,,,
Frederick Christian Academy,,,,
The Banner School,,,,
Bel Forest Christian Academy,,,,
Antioch Christian School,,,,
Arnold Christian Academy,,,,
Good Shepherd School,,,,
Krieger Schechter Day School,,,,
Atonement Lutheran School,,,,
Baltimore Actor's Theatre - The Convervatory,,,,
Maranatha Baptist Church Academy,,,,
Bethel Christian Academy,,,,
Winchester School,,,,
Forcey Christian School Pk-8,,,,
Chelsea School,,,,
Hebrew Day School of Montgomery County,,,,
Chesapeake Christian School,,,,
C P C Health & Mgmt Advantage,,,,
Mater Amoris School,,,,
The Lourie Center School Of The Reginald S. Lourie,,,,
Beddow School - Ft Washington Campus,,,,
Grace Christian School,,,,
Victory Baptist Academy,,,,
Crisfield Christian Academy,,,,
Holly Grove Christian School,,,,
Salisbury Baptist Academy,,,,
The Heights School,,,,
Al-Rahmah School,,,,
Alpert Family Aleph Bet Jewish Day School,,,,
Baltimore Christian Academy,,,,
Bethel Christian Academy,,,,
Bethel Christian School,,,,
The Catholic High School of Baltimore,,,,
Chesapeake Christian School,,,,
Christ Church School,,,,
Community Services for Autistic Children,,,,
Divine Peace Elementary School,,,,
Bittinger Mennonite School,,,,
Kiddie Academy Child Care Lear,,,,
Evergreen Montessori School,,,,
First Baptist School Of Laurel,,,,
From the Heart Christian School,,,,
Grace Bible Baptist School,,,,
Grace Christian Academy of Maryland,,,,
Grace Lutheran School,,,,
Hagerstown Mennonite Fellowship School,,,,
Heritage Montessori School,,,,
Hillside Mennonite School,,,,
Hopewell Mennonite School,,,,
Islamic Community School,,,,
Julia Brown Montessori School,,,,
Lamb of God School,,,,
The Learning Community Interna,,,,
Mechanicsville Mennonite Chrst,,,,
Montessori International Childrens House,,,,
Mother of God School,,,,
Mountain Christian School,,,,
Mountain Top SDA School,,,,
Cambridge School,,,,
Muslim Community School/Alim Academy,,,,
National Christian Academy,,,,
Naval Academy Primary School,,,,
Belair Baptist Christian Academy,,,,
New Dominion School,,,,
New Hope Academy,,,,
New Life Christian School,,,,
Our Savior's School,,,,
Pleasant Valley Christian Academy,,,,
Ryceville School,,,,
Salisbury Mennonite School,,,,
Snow Hill Mennonite School,,,,
St. Jane Frances De Chantal School,,,,
St. Katharine School,,,,
The Summit School,,,,
Sunny Meadow School,,,,
Swanton Mennonite Fellowship School,,,,
Life Source Christian School,,,,
Torah Institute,,,,
Unselds School,,,,
Jemicy School - Upper School,,,,
Epworth Childrens Center,,,,
Washington Episcopal School,,,,
Washington New Church School,,,,
The Washington-Mclaughlin Christian School,,,,
Hampshire View Christian School,,,,
Cornerstone Christian Academy,,,,
Friends Community School,,,,
Oneness Family School,,,,
St Annes School Of Annapolis,,,,
Chapelgate Christian Academy,,,,
Community Initiatives Academy,,,,
The Children's Learning Center,,,,
Baltimore White Marsh Adventist School,,,,
Beddow School - Waldorf Campus,,,,
Baptist Christian School,,,,
The Mill School,,,,
Focus Point School,,,,
Hamilton Christian Center,,,,
Loveville Mennonite School,,,,
Salem School,,,,
Parkway Christian Academy,,,,
Saint Andrew's Day School,,,,
Starmaker Learning Center,,,,
Pathways School-Springville,,,,
Baltimore Christian School,,,,
Bay Montessori School,,,,
Kiddie Academy Kingsville,,,,
Children's Manor Montessori,,,,
Brooklyn Park Christian Academy,,,,
Columbia Academy Elementary and Middle School,,,,
Covenant Life School,,,,
Emmanuel Lutheran School,,,,
Free Gospel Christian Academy,,,,
The Greenmount School,,,,
Community School of MD @ Jacks,,,,
Celebration Christian Academy,,,,
Greenspring Montessori School,,,,
Mitchellville Montessori School,,,,
Kiddie Academy of Towson,,,,
Mother Seton Academy,,,,
The Baltimore Academy,,,,
San Mar Children's Home,,,,
Sought Out Redeemed Christian School,,,,
Southern Md Christian Academy,,,,
St Ignatius Loyola Academy,,,,
The Greentree School,,,,
The Odyssey School,,,,
Torah School Of Greater Washington,,,,
Van Buren Street Baptist School,,,,
Victor Cullen Academy,,,,
Al-Huda School,,,,
Rabbi Benjamin Steinberg Middle School,,,,
Chesapeake Christian School,,,,
The Ridge School Of The Eastern Shore,,,,
Academy Primary School & Child Development Center,,,,
Clover Hill Mennonite Parochial School,,,,
Cross Cultures Learning Center,,,,
Elvaton Christian Academy,,,,
Emmorton Baptist Academy,,,,
Living Word Preparatory School,,,,
Hope Academy,,,,
Laurel Hall School - Hagerstown,,,,
Leary School Prince Georges County,,,,
The Kings Christian Academy,,,,
The Manor Montessori School,,,,
Mary Of Nazareth School,,,,
Budds Creek School,,,,
James Run Christian Academy,,,,
New Covenant Christian Academy,,,,
Oak Hill House School,,,,
Oak Ridge Country School,,,,
Pioneer Baptist Church School,,,,
Radcliffe Creek School,,,,
Redeemer Classical Christian School,,,,
Linwood Center,,,,
Shiningtree School,,,,
St. Anns High School,,,,
The Jefferson School,,,,
Beddow Jr/Sr High School,,,,
Villa Maria School At St Vincent's,,,,
Woodside School,,,,
Redwood Montessori Academy,,,,
Bethlehem Christian Day School,,,,
Calvary Christian Academy,,,,
Calvary Lutheran School,,,,
Faith Baptist School,,,,
Christ the King Academy,,,,
Lake Shore Christian Academy,,,,
Maryvale Preparatory School,,,,
St Peters Christian Day School,,,,
Wesleyan Christian School,,,,
Hudson SDA School,,,,
Calvary Lutheran School,,,,
Free State Montessori School,,,,
Mount Airy Christian Academy,,,,
Gateway Christian Academy,,,,
George E Peters Adventist School,,,,
Trinity Lutheran School,,,,
The Peake Academy,,,,
The Tidewater School,,,,
St Vincent Pallotti High School,,,,
Faith Baptist Christian School,,,,
Patuxent Montessori School,,,,
Cardinal Hickey Academy,,,,
Renaissance Christian Academy,,,,
Progressive Christian Academy,,,,
Butler School,,,,
Church of the Redeemer Christian School,,,,
Columbia Montessori School,,,,
Tree of Life Christian Academy,,,,
Faith Christian School,,,,
Vision Christian Academy,,,,
Apple Ridge Montessori School,,,,
Frederick Montessori School,,,,
Lighthouse Christian Academy,,,,
Quality Time Early Learning Center,,,,
Cornerstone Christian Academy,,,,
Charles E Smith Jewish Day School,,,,
Trinity School,,,,
St. Joseph Elementary School,,,,
Ruxton Country School,,,,
St. Timothys School,,,,
Book Of Life Academy,,,,
Seneca Academy,,,,
Mechanicsville Mennonite School,,,,
Mt Zion Baptist Christian School,,,,
Pathways School - Northwood At Hyattsville,,,,
Bright Stars Learning Academy,,,,
Academy of the Child,,,,
Amigonian School,,,,
An-Nur Academy,,,,
Open Hands Christian Academy,,,,
Asbury Town Neck Christian Academy,,,,
Baltimore Academy of Excellence,,,,
Center For Creative Learning,,,,
Ebenezer Christian School,,,,
Fairhaven School,,,,
Faith Christian Academy,,,,
New Visions Academy,,,,
Friends Meeting School,,,,
Gateway Christian Academy,,,,
God's Church International Higher Learning,,,,
Gospel Light Baptist Academy,,,,
Hattie Sams Learning Center,,,,
Annapolis Area Christian School - Elementary School,,,,
The Highlands School,,,,
Rockbridge Academy,,,,
The Julia Brown Montessori Schools,,,,
Kingsway Academy,,,,
Lighthouse Christian Academy,,,,
Maranatha Christian Academy,,,,
New Life Academy,,,,
New Mark Of Excellence School,,,,
Oakmont School,,,,
Olney Adventist Preparatory,,,,
Rock Junior Academy,,,,
Boonsboro Christian Academy,,,,
Woodbourne School,,,,
Wood Burn Hill School,,,,
Word of Life Christian Academy,,,,
Love of Learning Montessori School,,,,
St Pauls Lutheran School,,,,
Julia Brown Montessori School,,,,
St Martin's In-The-Field Day School,,,,
Wicomico Day School,,,,
Hagerstown Childrens School,,,,
Lime Kiln Middle School,9/10,8/10,,10/10
Fruitland Primary School,,,,
Century High School,,,10/10,9/10
F. B. Gwynn Educational Center,,,,
Forest Hill Elementary School,10/10,8/10,,
Applications And Research Laboratory,,,,
Thurmont Primary School,,,,
Advent Lutheran Elementary School,,,,
Brookeville Christian Academy of Arts and Sciences,,,,
The Maryland International Day School,,,,
Digital Harbor High School,2/10,,1/10,2/10
Reginald F. Lewis High School,,,2/10,1/10
Dr. Samuel L. Banks High School,,,,
Monocacy Valley Montessori School,8/10,6/10,,
Possibility Stem Preparatory Academy,,,,
Crossroads Adventist School,,,,
St. Johns Parish Day School,,,,
Calvert School,,,,
Dayspring Christian Academy,,,,
Foundation Schools,,,,
Elementary School of St. Marks,,,,
Faith Deliverance Academy,,,,
Upper Mountain View School,,,,
Beth Tfiloh Dahan Community School,,,,
Freedom Christian Academy,,,,
Friendship Adventist School,,,,
Ivymount School,,,,
Friendship School,,,,
Friendship School,,,,
Boys Latin School of Maryland,,,,
Glen Burnie Nazarene Christian School,,,,
Gods Excellent Disciples Christian Academy,,,,
Grace Christian Preparatory Ac,,,,
Grace Episcopal Day School,,,,
Harbour School at Baltimore TH,,,,
Gateway School,,,,
High Road Academy,,,,
Holy Trinity Episcopal Day School,,,,
The Inter Faith Academy,,,,
The Jefferson School At Finan Center,,,,
Jefferson School at Way Statio,,,,
The Benedictine School,,,,
Kehillat Montessori - Kemp Mill Montessori School,,,,
Kennedy Krieger High School Ca,,,,
Holden Montessori Day School,,,,
Kiddie Academy Of Oxon Hill,,,,
Kingdom Christian Academy,,,,
Kings Landing Academy,,,,
Emmanuel Christian School,,,,
Chimes School,,,,
Bowling Brook Preparatory School,,,,
Jamon Montessori Day School,,,,
Grafton School,,,,
Highland Park Christian Academy,,,,
Henson Valley Montessori School,,,,
Christian Family Montessori School,,,,
Thomas Jefferson Preparatory School,,,,
Firm Foundation & Faith Academy,,,,
Frederick Country Day Montessori School,,,,
The Harbour School At Annapolis,,,,
Kennedy Kreeger Fairmount School,,,,
Salem Education Center,,,,
Georgetown Hill Child Care Center,,,,
Chesapeake Alternative School,,,,
Shorehaven School,,,,
Glenwood Country Day School,,,,
Lycee Rochambeau French International School,,,,
Miracle Baptist Christian School,,,,
Montessori School Of Westminster,,,,
Visionquest Morning Star Youth Academy,,,,
Mount Clare Christian School,,,,
NCL: the Nazarene Christian Le,,,,
North Carroll Christian Academy,,,,
New Beginnings Christian Academy,,,,
Pathways School-Hyattsville,,,,
Faith Arts Academy,,,,
Seaside Christian Academy,,,,
Our Lady Of Grace School,,,,
Our Lady of the Rosary High School,,,,
Pathways School - Hyattsville,,,,
Primary Montessori Day School,,,,
Childway,,,,
Progressive Christian Day & Preparatory Academy,,,,
Providence Christian School,,,,
Rosedale Baptist School,,,,
The Arrow Center For Education,,,,
Community School Of Maryland,,,,
Severna Park Children's Centre,,,,
Salisbury Christian School,,,,
School of Original Thought,,,,
