names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Bayside Elementary School,8/10,301 Church Street, Stevensville, MD, 21666,Above average,Public district,3-5,391,15:1,Queen Anne's County Public Schools
Chapel District Elementary School,8/10,11430 Cordova Road, Cordova, MD, 21625,Above average,Public district,PK-5,372,16:1,Talbot County Public Schools
Paramount Elementary School,8/10,19410 Longmeadow Road, Hagerstown, MD, 21742,Above average,Public district,K-5,348,15:1,Washington County Public Schools
Fountaindale Elementary School,8/10,901 Northern Avenue, Hagerstown, MD, 21742,Above average,Public district,K-5,375,12:1,Washington County Public Schools
Greenbrier Elementary School,8/10,21222 San Mar Road, Boonsboro, MD, 21713,Above average,Public district,K-5,198,14:1,Washington County Public Schools
Smithsburg Middle School,8/10,68 North Main Street, Smithsburg, MD, 21783,Above average,Public district,6-8,661,16:1,Washington County Public Schools
Mardela Middle & High School,8/10,24940 Delmar Road, Mardela Springs, MD, 21837,Above average,Public district,6-12,667,12:1,Wicomico County Public Schools
Buckingham Elementary School,8/10,100 Buckingham Road, Berlin, MD, 21811,Above average,Public district,PK-4,497,10:1,Worcester County Public Schools
Piney Orchard Elementary School,9/10,2641 Strawberry Lake Way, Odenton, MD, 21113,Above average,Public district,K-5,675,15:1,Anne Arundel County Public Schools
Oakdale Elementary School,8/10,5830 Oakdale School Road, Frederick, MD, 21701,Above average,Public district,PK-5,595,18:1,Frederick County Public Schools
Robert Goddard Montessori,9/10,9850 Good Luck Road, Lanham, MD, 20706,Above average,Public district,PK-8,503,15:1,Prince George's County Public Schools
Mt. Savage Elementary School,7/10,13201 New School Road Northwest, Mount Savage, MD, 21545,Above average,Public district,PK-5,207,17:1,Allegany County Public Schools
Huntingtown High School,8/10,4125 Solomons Island Road, Huntingtown, MD, 20639,Above average,Public district,9-12,1438,17:1,Calvert County Public Schools
Centerville Elementary,9/10,3601 Carriage Hill Drive, Frederick, MD, 21704,Above average,Public district,PK-5,999,18:1,Frederick County Public Schools
Little Bennett Elementary School,8/10,23930 Burdette Forest Road, Clarksburg, MD, 20871,Above average,Public district,K-5,643,23:1,Montgomery County Public Schools
Ebb Valley Elementary School,8/10,3100 Swiper Drive, Manchester, MD, 21102,Above average,Public district,PK-5,480,9:1,Carroll County Public Schools
Chesapeake Math and IT Academy,8/10,6100 Frost Place, Laurel, MD, 20707,Above average,Public charter,6-12,700,16:1,Prince George's County Public Schools
College Park Academy,7/10,7501 Adelphi Road, Hyattsville, MD, 20783,Above average,Public charter,6-10,432,19:1,Prince George's County Public Schools
Beall Elementary School,7/10,3 East College Avenue, Frostburg, MD, 21532,Above average,Public district,PK-5,456,27:1,Allegany County Public Schools
Flintstone Elementary School,7/10,22000 National Pike Northeast, Flintstone, MD, 21530,Above average,Public district,PK-5,234,17:1,Allegany County Public Schools
Washington Middle School,7/10,200 Massachusetts Avenue, Cumberland, MD, 21502,Above average,Public district,6-8,622,19:1,Allegany County Public Schools
Cash Valley Elementary School,7/10,10601 Cash Valley Road Northwest, La Vale, MD, 21502,Above average,Public district,PK-5,304,24:1,Allegany County Public Schools
Central Middle School,9/10,221 Central Avenue East, Edgewater, MD, 21037,Above average,Public district,6-8,1122,14:1,Anne Arundel County Public Schools
Chesapeake High School,6/10,4798 Mountain Road, Pasadena, MD, 21122,Average,Public district,9-12,1405,16:1,Anne Arundel County Public Schools
Lake Shore Elementary School,7/10,4531 Mountain Road, Pasadena, MD, 21122,Above average,Public district,K-5,300,11:1,Anne Arundel County Public Schools
Magothy River Middle School,8/10,241 Peninsula Farm Road, Arnold, MD, 21012,Above average,Public district,6-8,751,12:1,Anne Arundel County Public Schools
Maryland City Elementary School,6/10,3359 Crumpton South, Laurel, MD, 20724,Average,Public district,PK-5,347,11:1,Anne Arundel County Public Schools
Mayo Elementary School,8/10,1260 Mayo Ridge Road, Edgewater, MD, 21037,Above average,Public district,K-5,326,13:1,Anne Arundel County Public Schools
Oakwood Elementary School,6/10,330 Oak Manor Drive, Glen Burnie, MD, 21061,Average,Public district,PK-5,296,12:1,Anne Arundel County Public Schools
Ridgeway Elementary School,7/10,1440 Evergreen Road, Severn, MD, 21144,Above average,Public district,K-5,599,15:1,Anne Arundel County Public Schools
Riviera Beach Elementary School,7/10,8515 Jenkins Road, Pasadena, MD, 21122,Above average,Public district,PK-5,335,12:1,Anne Arundel County Public Schools
Severn River Middle School,7/10,241 Peninsula Farm Road, Arnold, MD, 21012,Above average,Public district,6-8,759,15:1,Anne Arundel County Public Schools
Severna Park Middle School,9/10,450 Jumpers Hole Road, Severna Park, MD, 21146,Above average,Public district,6-8,1431,15:1,Anne Arundel County Public Schools
